order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,,,,,,
1691859,14,5,5,8,30,,,121,11,21,2
2127409,14,6,1,8,30,,,122,30,9,4
2505309,14,7,5,10,30,,,123,11,20,2
3067644,14,8,4,8,27,,,124,9,16,1
2109666,14,9,5,9,30,,,125,14,12,3
1625325,14,10,4,21,30,,,126,11,24,2
1335295,14,11,1,5,25,,,127,18,13,2
2045336,14,12,5,9,4,,,128,12,16,2
3394109,14,13,5,5,7,,,129,12,10,2
2316178,14,14,2,19,11,,,130,4,24,5
2514324,15,1,5,13,,,,131,10,19,3
3135826,15,2,6,12,15,,,132,25,3,2
2564002,15,3,6,12,7,,,133,21,7,3
714991,15,4,1,11,16,,,134,7,22,3
3317979,15,5,4,15,17,,,135,5,13,2
876095,15,6,5,11,8,,,136,5,16,1
2685110,15,7,1,11,17,,,137,7,22,4
3119091,15,8,2,17,8,,,138,33,11,3
887727,15,9,2,13,7,,,139,5,13,3
2570697,15,10,2,10,21,,,140,77,5,3
2600170,15,11,2,9,14,,,141,5,8,3
2883598,15,12,1,8,6,,,142,46,7,3
2332087,15,13,1,10,14,,,143,15,8,5
113728,15,14,1,10,14,,,144,8,7,2
2968173,15,15,1,9,7,,,145,9,7,3
3097485,15,16,1,9,7,,,146,41,9,3
1870022,15,17,2,16,8,,,147,14,17,2
1911383,15,18,2,11,7,,,148,8,10,4
2345592,15,19,5,11,3,,,149,16,17,4
2994589,15,20,1,13,10,,,150,32,10,3
2715276,15,21,1,9,7,,,151,12,7,3
487368,15,22,1,10,14,,,152,66,6,3
2161313,15,23,1,9,7,,,153,20,11,1
1273676,16,1,2,8,,,,154,36,10,1
875885,16,2,1,13,20,,,155,23,15,2
1491849,16,3,1,20,21,,,156,4,9,1
2704482,16,4,6,14,12,,,157,5,5,3
3192400,16,5,2,14,30,,,158,6,17,2
2000615,16,6,0,14,26,,,159,5,24,4
1416320,16,7,0,13,7,,,160,13,15,2
1737705,17,1,2,13,,,,161,21,17,3
1681401,17,2,5,10,3,,,162,15,6,3
2680214,17,3,3,10,5,,,163,12,9,3
3197376,17,4,1,14,5,,,164,11,17,3
3237467,17,5,6,17,5,,,165,8,22,3
2616505,17,6,4,17,5,,,166,7,23,2
2648319,17,7,1,13,4,,,167,6,17,3
2430354,17,8,0,15,6,,,168,23,9,3
2373492,17,9,3,13,3,,,169,7,20,4
900554,17,10,0,15,4,,,170,4,30,2
805025,17,11,4,15,4,,,171,7,10,3
912404,17,12,2,14,5,,,172,7,12,2
1389057,17,13,1,13,6,,,173,45,6,3
603534,17,14,6,17,5,,,174,28,11,2
2660930,17,15,2,16,3,,,175,24,5,3
1719551,17,16,1,12,6,,,176,7,23,2
601444,17,17,5,21,4,,,177,15,7,2
2956367,17,18,6,12,8,,,178,6,14,3
2508834,17,19,5,11,6,,,179,6,19,3
415389,17,20,5,13,7,,,180,7,25,5
3141030,17,21,2,12,4,,,181,11,21,1
603376,17,22,6,16,4,,,182,27,13,4
3069802,17,23,3,23,4,,,183,5,15,3
1683378,17,24,1,10,5,,,184,12,24,3
2795254,17,25,0,11,6,,,185,7,29,3
343199,17,26,5,17,5,,,186,8,13,4
1385847,17,27,4,10,6,,,187,33,7,3
3314059,17,28,1,9,4,,,188,6,7,3
697863,17,29,6,14,5,,,189,12,15,2
2148135,17,30,6,15,0,,,190,18,15,3
3327122,17,31,4,12,5,,,191,5,5,3
2760791,17,32,1,22,4,,,192,6,30,2
2553089,17,33,3,11,9,,,193,6,18,2
791858,17,34,5,12,16,,,194,10,16,4
2773605,17,35,6,13,8,,,195,59,5,3
674977,17,36,3,12,30,,,196,4,22,2
2831726,17,37,2,12,13,,,197,21,4,4
1385397,17,38,1,15,30,,,198,6,15,2
348137,17,39,5,16,11,,,199,4,16,5
3350883,17,40,4,11,27,,,200,10,22,3
2180313,17,41,3,10,30,,,201,8,10,3
2780889,18,1,6,18,,,,202,14,19,3
3106101,18,2,0,17,1,,,203,4,20,3
1860960,18,3,1,19,8,,,204,59,6,3
3133044,18,4,0,16,6,,,205,13,14,2
1020460,18,5,2,16,9,,,206,29,12,4
441977,18,6,6,12,4,,,207,4,25,3
2461523,18,7,6,9,7,,,208,19,10,2
1321974,19,1,6,13,,,,209,20,13,2
2293453,19,2,5,14,6,,,210,100,3,3
2208892,19,3,0,14,16,,,211,5,7,2
2808909,19,4,5,12,5,,,212,13,15,3
1973799,19,5,6,12,8,,,213,6,17,3
2474845,19,6,5,13,20,,,214,28,12,2
532817,19,7,4,17,6,,,215,6,26,3
2483716,19,8,4,4,7,,,216,18,15,4
86918,19,9,5,16,8,,,217,12,19,3
1735923,19,10,6,17,8,,,218,7,14,3
947722,20,1,1,10,,,,219,34,10,3
157550,20,2,3,16,2,,,220,17,18,1
3408319,20,3,2,11,6,,,221,24,12,3
2741696,20,4,2,11,7,,,222,71,5,3
1980631,20,5,1,11,30,,,223,50,7,1
2625565,21,1,1,10,,,,224,4,18,3
2698037,21,2,1,9,7,,,225,12,15,3
1166994,21,3,1,13,7,,,226,22,14,2
129152,21,4,1,14,14,,,227,32,9,3
62373,21,5,1,14,7,,,228,5,8,3
2984916,21,6,5,6,4,,,229,18,14,4
1716848,21,7,5,9,28,,,230,11,21,3
3288630,21,8,2,13,18,,,231,4,16,3
2592860,21,9,4,10,2,,,232,37,8,3
1573906,21,10,3,10,6,,,233,26,8,4
2102674,21,11,1,15,12,,,234,43,9,2
534401,21,12,1,9,21,,,235,22,11,3
2510446,21,13,5,11,4,,,236,46,6,3
1082944,21,14,1,9,10,,,237,9,9,4
3257456,21,15,1,9,7,,,238,7,15,2
774475,21,16,1,11,7,,,239,6,19,3
1953572,21,17,2,15,1,,,240,6,23,2
1674891,21,18,2,11,21,,,241,15,12,3
77791,21,19,3,9,8,,,242,17,12,3
1413723,21,20,1,10,12,,,243,28,12,3
1806047,21,21,1,9,7,,,244,8,15,4
1431584,21,22,3,9,9,,,245,6,28,2
2941505,21,23,2,13,6,,,246,6,14,3
1322450,21,24,5,8,3,,,247,6,22,4
1776467,21,25,5,8,7,,,248,59,6,2
497940,21,26,1,11,10,,,249,10,7,3
1735495,21,27,3,8,9,,,250,12,18,3
1996394,21,28,1,9,5,,,251,11,16,4
1110781,21,29,2,9,8,,,252,5,26,5
2097221,21,30,1,11,6,,,253,4,12,3
2057208,21,31,3,15,9,,,254,12,4,4
865324,21,32,1,13,12,,,255,5,19,2
3341737,21,33,1,12,30,,,256,19,18,2
1854765,21,34,1,12,28,,,257,21,5,3
2300537,22,1,3,7,,,,258,25,9,2
144358,22,2,3,7,30,,,259,4,13,4
1219654,22,3,0,21,4,,,260,18,11,3
2922708,22,4,3,11,30,,,261,9,4,3
3393222,22,5,5,21,16,,,262,46,7,3
2327987,22,6,1,19,17,,,263,4,9,3
2455079,22,7,6,17,5,,,264,30,11,2
634494,22,8,5,9,13,,,265,8,18,3
1014994,22,9,5,15,28,,,266,6,13,4
3227049,22,10,3,19,5,,,267,10,24,3
2780464,22,11,5,12,2,,,268,10,22,3
194741,22,12,0,8,2,,,269,4,30,4
1766930,22,13,5,10,5,,,270,23,12,3
3090814,22,14,1,19,3,,,271,16,19,3
2647850,22,15,4,10,30,,,272,10,15,3
139655,22,16,5,6,1,,,273,20,14,1
1792521,23,1,5,14,,,,274,15,19,4
8382,23,2,0,10,9,,,275,15,11,2
1902489,23,3,5,12,5,,,276,10,15,5
1072926,23,4,3,11,30,,,277,4,13,4
3402036,23,5,1,12,30,,,278,69,3,3
611214,24,1,3,20,,,,279,15,19,3
1869748,24,2,6,16,3,,,280,42,9,1
1511050,24,3,3,21,30,,,281,31,10,3
2877797,24,4,6,10,24,,,282,4,18,3
118133,24,5,0,11,30,,,283,6,21,3
816714,24,6,6,8,13,,,284,17,19,3
1415679,24,7,0,8,15,,,285,5,22,3
3064712,24,8,1,20,8,,,286,4,13,4
1640680,24,9,1,8,30,,,287,15,6,3
3354579,24,10,5,17,18,,,288,4,27,2
3320181,24,11,4,14,6,,,289,50,7,4
2126098,24,12,5,16,22,,,290,52,7,6
2586085,24,13,2,11,11,,,291,5,13,3
1103927,24,14,6,8,4,,,292,9,20,2
1368577,24,15,0,10,15,,,293,9,21,2
2635041,24,16,0,9,7,,,294,16,13,2
196008,24,17,0,20,14,,,295,24,5,2
173172,24,18,0,16,14,,,296,7,6,4
965160,24,19,0,16,0,,,297,12,24,2
2610576,25,1,1,14,,,,298,4,18,2
2994388,25,2,1,20,30,,,299,10,19,3
258751,25,3,5,19,30,,,300,39,6,3
1411408,25,4,0,15,30,,,301,19,13,3
3229714,26,1,2,15,,,,302,11,13,2
2284750,26,2,5,11,10,,,303,9,14,3
1488077,26,3,5,10,7,,,304,43,8,3
1798774,26,4,4,20,6,,,305,5,30,2
2018734,26,5,5,9,8,,,306,25,14,2
2827207,26,6,2,15,11,,,307,35,11,3
2097636,26,7,1,13,30,,,308,4,12,3
2923351,26,8,3,11,30,,,309,26,1,2
2063028,26,9,3,9,14,,,310,100,3,3
3350048,26,10,3,14,7,,,311,16,9,2
135696,26,11,4,17,8,,,312,5,19,2
232721,26,12,4,17,7,,,313,100,2,3
2940603,26,13,5,14,8,,,314,6,26,3
361493,27,1,3,9,,,,315,5,15,2
1662354,27,2,2,17,6,,,316,22,11,3
965677,27,3,3,8,1,,,317,5,15,2
2842504,27,4,5,13,2,,,318,8,16,3
1007361,27,5,2,15,4,,,319,9,4,4
2792524,27,6,4,9,9,,,320,6,15,3
1771198,27,7,2,14,5,,,321,34,11,3
1460681,27,8,3,15,1,,,322,15,18,3
3317805,27,9,4,13,1,,,323,72,2,3
3149167,27,10,4,15,7,,,324,12,18,3
3141790,27,11,5,11,1,,,325,8,17,2
1380784,27,12,1,11,3,,,326,6,14,2
1659155,27,13,2,17,1,,,327,64,6,3
1406911,27,14,3,9,8,,,328,13,16,2
3247231,27,15,1,14,5,,,329,9,18,2
2705360,27,16,2,16,8,,,330,8,25,3
1523605,27,17,2,9,7,,,331,9,25,4
3137551,27,18,1,15,20,,,332,13,9,2
900590,27,19,3,9,9,,,333,9,20,5
1060278,27,20,1,16,12,,,334,64,6,3
1149132,27,21,2,11,8,,,335,7,17,4
2729473,27,22,3,8,8,,,336,12,4,4
612679,27,23,2,13,6,,,337,13,21,1
3162630,27,24,2,15,0,,,338,6,26,4
338996,27,25,5,10,10,,,339,4,14,3
2305567,27,26,5,14,7,,,340,6,10,5
1311494,27,27,1,15,17,,,341,12,17,2
1641287,27,28,3,10,2,,,342,17,17,3
654294,27,29,3,14,0,,,343,5,25,5
1111867,27,30,4,16,1,,,344,10,16,3
1194452,27,31,2,14,5,,,345,4,26,3
3147283,27,32,5,10,10,,,346,7,24,4
1666812,27,33,4,15,6,,,347,4,10,3
2695034,27,34,2,15,5,,,348,29,11,3
129025,27,35,3,16,1,,,349,8,14,2
920968,27,36,5,14,2,,,350,15,8,3
2005447,27,37,1,10,3,,,351,15,13,2
1603399,27,38,2,16,1,,,352,11,23,2
3176698,27,39,1,14,6,,,353,12,15,3
3374715,27,40,4,10,3,,,354,6,25,4
2392592,27,41,5,10,1,,,355,14,16,3
1374792,27,42,5,14,0,,,356,4,16,3
1849805,27,43,5,15,0,,,357,9,13,2
225381,27,44,2,14,4,,,358,8,25,3
3037479,27,45,4,9,2,,,359,16,18,3
419099,27,46,1,10,4,,,360,4,4,3
3359528,27,47,2,14,1,,,361,7,16,3
1380270,27,48,3,10,1,,,362,12,11,3
1067581,27,49,3,14,0,,,363,13,10,4
3094422,27,50,4,14,1,,,364,19,14,2
933179,27,51,2,9,5,,,365,16,10,4
682914,27,52,3,15,15,,,366,4,13,3
1149184,27,53,2,9,6,,,367,5,23,2
65724,27,54,4,15,2,,,368,5,22,4
2244394,27,55,2,16,5,,,369,17,16,3
1025119,27,56,3,11,1,,,370,28,10,4
1559403,27,57,4,13,1,,,371,4,18,2
1615255,27,58,5,8,1,,,372,13,21,2
1201330,27,59,3,9,5,,,373,59,6,3
3146978,27,60,4,15,1,,,374,17,20,2
230851,27,61,1,13,4,,,375,8,20,2
771049,27,62,2,10,1,,,376,9,20,3
7099,27,63,3,10,1,,,377,4,21,3
2716757,27,64,1,15,5,,,378,9,24,3
804483,27,65,4,10,3,,,379,20,11,3
2325503,27,66,1,12,4,,,380,13,14,2
1832360,27,67,5,10,4,,,381,17,14,2
1560223,27,68,2,8,4,,,382,30,10,2
2999232,27,69,2,14,0,,,383,10,20,2
1250733,27,70,3,15,1,,,384,10,20,3
2569634,27,71,1,13,5,,,385,5,29,2
1225000,27,72,1,13,7,,,386,5,21,3
994572,27,73,5,14,4,,,387,9,12,3
2138705,27,74,5,14,7,,,388,11,24,4
264488,27,75,1,11,10,,,389,13,13,3
3276527,27,76,1,14,0,,,390,23,14,3
625018,27,77,1,8,7,,,391,24,8,2
568636,27,78,5,15,4,,,392,7,17,4
2546638,27,79,3,11,5,,,393,11,19,4
1837192,27,80,2,8,6,,,394,6,27,3
1573122,27,81,1,13,6,,,395,4,21,2
2614670,27,82,5,14,4,,,396,19,15,1
1138968,28,1,0,14,,,,397,4,5,4
1589342,28,2,5,13,19,,,398,54,7,4
3331846,28,3,0,16,2,,,399,4,13,3
1782508,28,4,3,16,17,,,400,6,27,2
1432100,28,5,2,15,27,,,401,5,15,3
358148,28,6,2,12,14,,,402,5,14,2
2657750,28,7,1,17,6,,,403,33,11,2
2695156,28,8,0,16,13,,,404,7,14,3
1584053,28,9,1,15,30,,,405,6,22,4
1639907,28,10,0,17,6,,,406,5,17,2
2760669,28,11,0,7,30,,,407,5,17,2
1819575,28,12,1,19,1,,,408,5,28,3
1272493,28,13,5,17,11,,,409,87,4,3
279523,28,14,2,13,18,,,410,29,6,2
2810971,28,15,3,17,15,,,411,12,20,3
1481969,28,16,4,12,1,,,412,5,21,3
181977,28,17,5,13,1,,,413,21,8,3
979759,28,18,0,17,9,,,414,4,27,4
2070736,28,19,5,16,12,,,415,7,17,4
760273,28,20,1,13,10,,,416,4,28,2
1385910,28,21,2,17,1,,,417,10,20,3
1818037,28,22,2,15,7,,,418,9,22,3
2195945,28,23,1,14,6,,,419,25,10,1
1978052,28,24,0,15,13,,,420,23,11,3
1192143,28,25,1,16,8,,,421,4,21,2
2064090,29,1,5,11,,,,422,28,9,3
875452,29,2,2,8,11,,,423,43,9,2
2657652,29,3,2,10,14,,,424,5,19,2
2999889,29,4,6,8,11,,,425,8,15,3
1207762,29,5,1,11,9,,,426,14,16,2
370715,29,6,5,11,11,,,427,9,21,2
1049206,29,7,1,12,10,,,428,4,30,3
2655002,29,8,4,13,10,,,429,30,12,2
685887,29,9,6,13,9,,,430,9,10,3
3167222,29,10,5,11,13,,,431,10,9,5
2865794,29,11,5,9,7,,,432,53,6,3
1062536,29,12,4,8,13,,,433,6,19,2
620971,29,13,5,8,8,,,434,5,11,3
3090640,29,14,1,13,17,,,435,14,14,1
3202175,29,15,3,11,16,,,436,17,10,3
2376709,29,16,1,11,12,,,437,20,17,3
1748639,29,17,5,13,11,,,438,12,9,3
1647841,29,18,5,11,14,,,439,10,19,2
3110252,29,19,4,11,13,,,440,19,9,2
375303,30,1,1,13,,,,441,15,22,4
2156000,30,2,1,10,7,,,442,13,19,3
3169631,30,3,1,22,7,,,443,11,15,4
1645927,30,4,2,13,22,,,444,43,6,4
986094,30,5,2,11,30,,,445,5,22,2
2299885,30,6,1,19,27,,,446,9,24,3
137318,30,7,1,6,28,,,447,6,18,3
3333738,30,8,1,8,30,,,448,34,10,2
62370,30,9,2,13,22,,,449,22,10,3
2150649,31,1,5,11,,,,450,18,17,2
695934,31,2,5,11,0,,,451,33,9,3
638062,31,3,4,12,6,,,452,25,6,1
2135842,31,4,3,13,6,,,453,14,18,2
2623412,31,5,0,16,4,,,454,55,6,3
1183257,31,6,0,16,7,,,455,8,4,3
1341128,31,7,2,13,2,,,456,7,18,4
1120389,31,8,0,11,5,,,457,5,19,0
3352995,31,9,3,12,3,,,458,15,15,3
1593000,31,10,3,8,7,,,459,24,12,4
2582407,31,11,1,7,5,,,460,4,28,3
673583,31,12,4,12,10,,,461,5,30,2
3035956,31,13,3,11,6,,,462,60,6,2
2951746,31,14,2,9,6,,,463,8,19,3
2258440,31,15,1,8,6,,,464,50,7,1
2647083,31,16,2,8,8,,,465,41,8,2
2231262,31,17,3,11,8,,,466,32,11,3
963053,31,18,3,11,0,,,467,6,11,2
813240,31,19,0,17,4,,,468,7,27,1
1765409,31,20,0,17,0,,,469,9,23,2
280888,31,21,4,9,18,,,470,17,8,4
134879,32,1,3,12,,,,471,7,11,2
1275838,32,2,3,12,30,,,472,5,26,3
1709286,32,3,2,10,20,,,473,12,8,3
72626,32,4,3,9,1,,,474,30,8,1
1210985,32,5,1,23,30,,,475,29,9,3
3202221,32,6,1,13,30,,,476,17,16,4
2906103,33,1,3,14,,,,477,5,12,3
2612991,33,2,2,16,27,,,478,9,19,5
1537903,33,3,1,19,30,,,479,24,14,4
3222866,33,4,6,17,19,,,480,13,4,2
2383661,34,1,4,15,,,,481,36,10,2
1569834,34,2,4,7,28,,,482,10,16,3
1916863,34,3,4,14,21,,,483,10,15,1
1951139,34,4,0,11,10,,,484,11,24,3
2344038,34,5,0,15,21,,,485,13,12,3
698604,34,6,4,13,30,,,486,13,20,2
1269089,35,1,5,21,,,,487,34,10,4
2562704,35,2,3,16,26,,,488,7,24,1
1136841,35,3,6,9,30,,,489,8,17,2
457048,35,4,0,20,22,,,490,4,20,3
2880466,35,5,5,16,30,,,491,4,27,4
1830981,35,6,6,10,1,,,492,6,10,5
3309528,35,7,3,18,4,,,493,8,12,4
1316279,35,8,4,17,30,,,494,4,19,1
2903057,35,9,4,16,28,,,495,25,13,2
707453,35,10,4,15,21,,,496,83,3,3
3285797,36,1,4,17,,,,497,10,12,2
412111,36,2,5,18,8,,,498,13,21,3
240889,36,3,5,17,21,,,499,7,5,4
1602446,36,4,1,11,10,,,500,4,16,1
2472897,36,5,4,15,3,,,501,7,25,3
1626957,36,6,5,15,15,,,502,8,18,3
453864,36,7,6,14,15,,,503,37,10,3
2010389,36,8,3,17,4,,,504,5,25,2
278124,36,9,0,11,4,,,505,4,21,4
14400,36,10,1,18,1,,,506,5,26,5
1145961,36,11,5,19,4,,,507,8,9,3
746041,36,12,0,16,9,,,508,20,12,4
682472,36,13,6,15,20,,,509,12,20,2
3067639,36,14,0,12,22,,,510,10,6,2
2640464,36,15,5,17,12,,,511,6,23,2
479244,36,16,3,21,5,,,512,5,20,1
409708,36,17,0,15,11,,,513,4,13,4
423623,36,18,4,17,18,,,514,6,10,3
664952,36,19,0,8,3,,,515,20,12,3
2833188,36,20,4,9,25,,,516,94,4,4
1185674,36,21,0,9,3,,,517,5,9,6
2890966,36,22,3,12,3,,,518,6,24,3
2671410,36,23,4,17,22,,,519,11,16,3
1189699,36,24,2,7,5,,,520,30,11,2
2138456,36,25,4,10,9,,,521,7,23,1
669187,36,26,3,18,6,,,522,11,23,3
1460684,36,27,5,21,16,,,523,13,20,2
2795573,36,28,0,11,16,,,524,6,26,4
1719560,36,29,3,21,3,,,525,37,10,3
2693179,36,30,3,21,0,,,526,5,17,2
903277,36,31,6,12,10,,,527,4,29,2
2527665,36,32,0,9,8,,,528,35,10,2
2230383,36,33,3,19,3,,,529,51,6,3
793311,36,34,6,11,10,,,530,4,7,1
1032510,36,35,0,16,15,,,531,30,12,2
182125,36,36,4,12,4,,,532,5,24,1
2710884,36,37,4,12,7,,,533,5,21,2
1320132,36,38,0,8,3,,,534,8,17,1
327827,37,1,2,10,,,,535,29,9,2
86313,37,2,6,12,4,,,536,4,25,3
1354506,37,3,0,1,8,,,537,6,14,3
2153671,37,4,1,14,8,,,538,27,13,2
2449761,37,5,2,14,8,,,539,18,18,1
484397,37,6,5,17,10,,,540,6,14,3
2568429,37,7,1,19,10,,,541,6,22,4
711999,37,8,3,19,23,,,542,4,15,2
1145920,37,9,6,14,17,,,543,12,14,2
1736749,37,10,3,18,11,,,544,5,16,4
2484696,37,11,4,11,8,,,545,5,12,5
712331,37,12,6,22,30,,,546,7,26,2
1740853,37,13,6,19,14,,,547,11,6,3
1394419,37,14,5,14,20,,,548,8,19,2
1751600,37,15,0,16,30,,,549,11,17,4
1854906,37,16,5,17,5,,,550,5,14,2
1179244,37,17,4,14,6,,,551,11,21,3
2615608,37,18,5,17,15,,,552,13,13,4
2326295,37,19,1,16,10,,,553,10,21,3
841710,37,20,3,16,9,,,554,7,26,2
3268585,37,21,2,13,13,,,555,12,19,3
1294288,37,22,6,15,30,,,556,4,3,6
1727614,37,23,5,16,6,,,557,6,25,2
1524161,37,24,0,13,16,,,558,28,7,2
2873174,38,1,0,10,,,,559,23,12,4
1308004,38,2,4,11,30,,,560,35,8,1
1588002,38,3,0,11,17,,,561,5,21,2
1691300,38,4,6,12,20,,,562,52,5,3
1244041,38,5,0,14,22,,,563,6,12,2
718156,38,6,6,9,13,,,564,10,24,4
894015,38,7,6,10,28,,,565,6,17,4
795223,38,8,6,18,28,,,566,14,20,4
3204829,38,9,6,16,7,,,567,22,15,2
2980672,38,10,5,8,27,,,568,11,15,2
725451,38,11,0,0,9,,,569,4,30,3
2479273,38,12,1,13,30,,,570,7,17,4
3173750,38,13,0,9,30,,,571,7,20,2
2782479,39,1,0,12,,,,572,4,8,3
971516,39,2,0,15,7,,,573,16,14,2
127769,39,3,6,17,6,,,574,12,15,1
524816,39,4,6,10,7,,,575,5,22,3
859009,39,5,6,19,7,,,576,7,27,2
1493525,39,6,0,12,15,,,577,6,14,2
2754717,39,7,6,16,30,,,578,4,18,3
882556,39,8,6,13,7,,,579,4,28,3
2570028,40,1,0,9,,,,580,22,15,3
2309440,40,2,1,10,8,,,581,4,30,4
1469897,40,3,6,11,12,,,582,22,15,2
2621404,40,4,0,12,8,,,583,35,10,3
1132197,40,5,6,9,20,,,584,9,12,1
2640967,40,6,0,9,15,,,585,12,19,2
2215173,40,7,0,8,21,,,586,5,21,4
423262,40,8,0,10,7,,,587,13,13,4
